uniqueid,Question,Correct Value
105,district,13
125,age,2
138,gender,1
199,district,34
2,am_failure,3
205,income,30
286,age,43
298,district,22
348,satisfied_w_self,3
367,income,141
42,income,5
448,age,22
467,satisfied_w_self,2
471,am_failure,3
529,income,61
535,district,25
610,income,16
65,district,32
66,am_failure,3
691,age,25
711,am_failure,2
713,satisfied_w_self,3
713,feel_useless,2
72,gender,2
777,district,21
793,positive_attitude,4
796,am_failure,5
797,little_pride,3
852,age,43
852,income,45
917,am_failure,1
919,do_well,5
920,positive_attitude,3
920,no_good_at_all,2
933,income,193
974,income,88
999,person_of_worth,2
999,am_failure,3
999,do_well,2
999,little_pride,3
999,satisfied_w_self,4
999,want_selfrespect,4
999,feel_useless,4
999,no_good_at_all,2
